"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Study Design and Population","Key Findings on Adherence Accuracy or Outcomes","Limitations and Gaps"
"Increasing Use of Wearable Devices for Health or Activity Tracking Among Adults with Chronic Diseases in the US","https://scispace.com/paper/4hYo0EAhofcJ","","","","C Haridas
AL Potter
D Srinivasan","","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Surveys national trends in wearable use among chronic‑disease adults; lacks specific device focus, adherence data, accuracy validation, or long‑term outcome analysis.","","","",""
"The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care: A Comprehensive Review","https://scispace.com/paper/the-role-of-wearable-devices-in-chronic-disease-monitoring-idagpylffll4","2024","Journal Article","Cureus","Eman A Jafleh
Fatima A Alnaqbi
Hind A Almaeeni
Shooq Faqeeh
Moza A Alzaabi
Khaled Al Zaman","10.7759/cureus.68921","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearables across many chronic conditions, but being a literature review it lacks original adherence data, sensor accuracy validation, or longitudinal outcome results.","Wearable health devices are becoming vital in chronic disease management because they offer real-time monitoring and personalized care. This review explores their effectiveness and challenges across medical fields, including cardiology, respiratory health, neurology, endocrinology, orthopedics, oncology, and mental health. A thorough literature search identified studies focusing on wearable devices’ impact on patient outcomes. In cardiology, wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. In respiratory health, these devices enhance asthma management and continuous monitoring of critical parameters. Neurological applications include seizure detection and Parkinson’s disease management, with wearables showing promising results in improving patient outcomes. In endocrinology, wearable technology advances thyroid dysfunction monitoring, fertility tracking, and diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation, while wearables help in early complication detection in oncology. Mental health benefits include anxiety detection, post-traumatic stress disorder management, and stress reduction through wearable biofeedback. In conclusion, wearable health devices offer transformative potential for managing chronic illnesses by enhancing real-time monitoring and patient engagement. Despite significant improvements in adherence and outcomes, challenges with data accuracy and privacy persist. However, with ongoing innovation and collaboration, we can all be part of the solution to maximize the benefits of wearable technologies in healthcare.","","",""
"Use of Wearable Device among Adults in the US with Self-reported Diabetes Mellitus: An Analysis of the 2019 Health Information National Trends Survey","https://scispace.com/paper/use-of-wearable-device-among-adults-in-the-us-with-self-15yfc6d7p0","2020","Journal Article","","Victor Kekere
Henry K. Onyeaka
Olubunmi Fatoki
Kudirat Olatunde
Somto Enemuo
Chidi Asuzu
Onoriode Kesiena","10.12691/JPAR-5-2-2","https://scispace.com/pdf/use-of-wearable-device-among-adults-in-the-us-with-self-15yfc6d7p0.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses nationally representative survey to examine wearable use among US adults with diabetes, highlighting prevalence and demographic gaps, but lacks adherence metrics, accuracy validation, or longitudinal outcome data.","Objective: To evaluate the prevalence, patterns, and sociodemographic predictors of wearable device use among individuals with self-reported diabetes mellitus. Methods: Data for our analysis was drawn from cycle 3 (2019) of the 5th edition of the Health Information National Trends Survey (HINTS 5). Descriptive statistics were used to evaluate the demographic characteristics, prevalence, and frequency of wearable device use among individuals with diabetes mellitus. Multivariable logistic regression was used to identify the sociodemographic predictors of wearable device use. Results: We identified 1149 individuals who self-reported diabetes mellitus. Of these, 51.2% were females, 59.3% were white, and 51.6% had less than a college education. The prevalence of wearable device use was 20%. Further, a sizable proportion (86.1%) of the wearable device users were willing to share information from their wearable devices with their healthcare provider, and almost half of them (43.4%) reported daily use of these devices in the past 1-month. Significant sociodemographic predictors of wearable device use include age, income, and level of education. Conclusion: Our results highlight the feasibility and acceptability of using wearable devices to deliver evidence-based health care to individuals with diabetes. Future interventions should consider the scalability of these tools and how to reach those subgroups of individuals with diabetes mellitus to whom current technologies may be unavailable.","","",""
"Harnessing Technology for Enhanced Patient Care and Monitoring","https://scispace.com/paper/harnessing-technology-for-enhanced-patient-care-and-3iy9orv16p","2023","Journal Article","Journal wetenskap health","Magaille Hodambia","10.48173/jwh.v4i4.204","https://scispace.compdf/harnessing-technology-for-enhanced-patient-care-and-3iy9orv16p.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses wearables to boost activity in patients with chronic illnesses, but device role is peripheral, no adherence or accuracy data, and only an eight‑week follow‑up limits long‑term outcome insight.","This study looks into how individuals with chronic illnesses' levels of physical activity are affected by wearable health monitoring devices. We looked at participant demographics, health status, and physical activity information throughout an eight-week period using a quantitative method. The findings show that wearing wearable technology is positively correlated with higher levels of physical activity. Our results support previous studies by highlighting the usefulness of wearables in encouraging behavior modification. Notably, the study offers a deeper picture of wearable device adoption by contributing information regarding health problems and demographic characteristics. The ramifications for the practice of medicine indicate that include wearables in care plans could improve patient interventions for chronic illnesses. While acknowledging study limitations, the overall conclusion supports the The general conclusion acknowledges the limits of the study but affirms the revolutionary role that wearable technology will play in reshaping healthcare, improving patient outcomes, and encouraging proactive health management. ","","",""
"The Role of Wearable Devices in Chronic Disease Management: A Review of Current AI and ML Applications and Future Directions","https://scispace.com/paper/the-role-of-wearable-devices-in-chronic-disease-management-a-amw6swjua9oz","2025","Repository","","Kiran Veernapu","10.5281/zenodo.14880764","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearable use in diabetes, heart, respiratory, mental health; but being a review, it lacks original adherence data, sensor accuracy validation, or longitudinal outcome results.","Chronic diseases like diabetes, high blood pressure, heart issues, and breathing problems are some of the leading causes of morbidity and mortality around the world. Managing these diseases usually requires regular check-ups, changes in lifestyle, and sticking to medications. Recent developments in wearable technology have opened up new ways to better manage these diseases, improve patient results, and make healthcare more efficient. When these devices are used with Artificial Intelligence (AI) and Machine Learning (ML), offer unprecedented opportunities to monitor, predict, and manage chronic diseases in real-time. This review explores at how wearable devices are currently used in managing chronic conditions, their benefits and limitations, and possible future developments in this rapidly evolving subject. It looks at the key roles that wearable devices have in managing diabetes, heart diseases, breathing issues, and mental health problems. It also discusses how AI and ML are applied in wearable devices for managing chronic diseases, the challenges these technologies face, and where they might head in the future. Lastly, the paper considers what the future may hold for wearable technologies, such as predictive healthcare, personalized medicine, and managing multiple diseases, and the challenges that need to be addressed for broader use. ","","",""
"Wearable technology and the future of personal healthcare","https://scispace.com/paper/wearable-technology-and-the-future-of-personal-healthcare-12xwkcoy4esk","2019","Journal Article","International Journal of Health Sciences (IJHS)","Ahmad Nafal Mohmmed Alsulami
Thamer Hamed Aljuaid
Badr Jaza Alamri
Majed Alharbi
Mobarak Dakhelallah Meateq Alarfi
Mohammed Hassan Albather
Salem Mohammad Raea
Abdullah Mohammed Abdullah Alyamani","10.53730/ijhs.v3ns1.15431","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearable tech’s role in chronic disease care but lacks primary data on specific devices, adherence metrics, accuracy validation, or extended outcome studies.","Background: Wearable technology (WT) is transforming personal healthcare by emphasizing preventive care, real-time health monitoring, and individualized health management. WT encompasses devices equipped with sensors capable of tracking physiological parameters such as heart rate, blood glucose levels, and sleep patterns. These technologies are increasingly utilized in chronic disease management and behavioral health modification. Despite its potential, challenges such as data privacy concerns, connectivity issues, and disparities in usage limit its widespread adoption. Aim: This study explores the applications, benefits, and limitations of WT to highlight its transformative impact on personal healthcare and its implications for healthcare systems. Methods: A comprehensive literature review was conducted, synthesizing findings from peer-reviewed articles, clinical trials, and case studies. The review examines WT's influence on health outcomes, its role in chronic disease management, and associated challenges, including data security and system integration. Results: WT demonstrates significant potential to enhance patient outcomes, reduce healthcare costs, and empower individuals in managing their health. Evidence supports its efficacy in monitoring chronic conditions and promoting behavioral changes. However, concerns regarding data accuracy, security, and ethical considerations persist. Conclusion: Wearable technology holds substantial promise for revolutionizing healthcare delivery. ","","",""
"Musculoskeletal Digital Therapeutics and Digital Health Rehabilitation: A Global Paradigm Shift in Orthopedic Care.","https://scispace.com/paper/41375770","2025","Journal Article","Journal of clinical medicine","Lee
Yoon
Kim
Kim
Kim","10.3390/jcm14238467","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12693369/pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses wearables for musculoskeletal rehab, not chronic disease; reports adherence improvements but without detailed compliance analysis; lacks sensor accuracy validation; long‑term outcome data are scarce.","Musculoskeletal disorders (MSDs) affect over 1.7 billion people globally and represent the leading cause of disability worldwide. Conventional rehabilitation strategies face challenges including limited accessibility, suboptimal adherence, and lack of personalization. Digital therapeutics (DTx)-evidence-based, software-driven interventions regulated as medical devices-have emerged as transformative solutions in chronic disease management. This review provides a narrative synthesis of representative studies in the field, drawing on a broad survey of literature from medical and engineering sources to capture current trends and clinically relevant developments. Seventy-five publications were examined, including clinical trials and validation studies, many of which reported outcomes comparable or superior to traditional rehabilitation approaches, with adherence gains of 15-40% and cost reductions of approximately 30-40%. We summarize the major technological foundations of musculoskeletal DTx and digital rehabilitation across orthopedic subspecialties, describing core-enabling technologies including artificial intelligence-driven motion analysis, wearable sensors, tele-rehabilitation platforms, and cloud-based ecosystems. Clinical applications spanning spine, upper and lower extremities, sports injuries, and trauma were analyzed alongside global regulatory frameworks, economic considerations, and implementation challenges. Early clinical evidence demonstrates improvements in functional outcomes, adherence, and cost-effectiveness. Future directions include digital twin-based precision rehabilitation, predictive analytics, and scalable integration into value-based orthopedic care. By establishing a comprehensive framework for musculoskeletal DTx implementation, this review highlights their potential to improve outcomes, reduce healthcare costs, and address global rehabilitation access gaps. However, evidence on long-term effectiveness, sustained cost benefits, and large-scale clinical integration remains limited and warrants further investigation.","","",""
"The Influence of Wearables on Health Care Outcomes in Chronic Disease: Systematic Review","https://scispace.com/paper/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5","2022","Journal Article","Journal of Medical Internet Research","Graeme Mattison
Oliver J. Canfell
Douglas J. Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/36690","https://scispace.com/pdf/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** No perfectly relevant criteria; the review mentions wearables but lacks central device focus, adherence data, accuracy validation, or long‑term outcome analysis.","Background Chronic diseases contribute to high rates of disability and mortality. Patient engagement in chronic disease self-management is an essential component of chronic disease models of health care. Wearables provide patient-centered health data in real time, which can help inform self-management decision-making. Despite the perceived benefits of wearables in improving chronic disease self-management, their influence on health care outcomes remains poorly understood. Objective This review aimed to examine the influence of wearables on health care outcomes in individuals with chronic diseases through a systematic review of the literature. Methods A narrative systematic review was conducted by searching 6 databases for randomized and observational studies published between January 1, 2016, and July 1, 2021, that included the use of a wearable intervention in a chronic disease group to assess its impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or health care outcomes as a result of the wearable intervention. Data from the included studies were extracted based on 6 key themes, which formed the basis for a narrative qualitative synthesis. All outcomes were mapped against each component of the Quadruple Aim of health care. The guidelines of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement were followed in this study. Results A total of 30 articles were included; studies reported 2446 participants (mean age: range 10.1-74.4 years), and the influence of 14 types of wearables on 18 chronic diseases was presented. The most studied chronic diseases were type 2 diabetes (4/30, 13%), Parkinson disease (3/30, 10%), and chronic lower back pain (3/30, 10%). The results were mixed when assessing the impact on a predefined primary outcome, with 50% (15/30) of studies finding a positive influence on the studied outcome and 50% (15/30) demonstrating a nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in 7% (2/30) of studies that evaluated 2 distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity; weight; and biomarkers of disease, such as hemoglobin A1c, in diabetes. In total, 155 outcomes were studied. Most (139/155, 89.7%) addressed the health care outcomes component. This included pain (11/155, 7.5%), quality of life (7/155, 4.8%), and physical function (5/155, 3.4%). Approximately 7.7% (12/155) of outcome measures represented the patient experience component, with 1.3% (2/155) addressing the clinician experience and cost. Conclusions Given their popularity and capability, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base for safe and effective implementation. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42021244562; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=244562","","",""
"Artificial Intelligence Methods and Digital Intervention Strategies for Predicting and Managing Chronic Obstructive Pulmonary Disease Exacerbations: An Umbrella Review.","https://scispace.com/paper/41373254","2025","Journal Article","Healthcare (Basel, Switzerland)","Pozza
Navarin
Sakkalis
Gabrielli","10.3390/healthcare13233037","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12691994/pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions wearables in COPD digital interventions but lacks direct device focus, adherence data, sensor accuracy, or long‑term outcome analysis specific to a wearable.","","","",""
"Cloud-based machine learning platform to predict clinical outcomes at home for patients with cardiovascular conditions discharged from hospital: clinical trial","https://scispace.com/paper/FeVYhExNkpcJ","","","","PC Yang
A Jha
W Xu
Z Song
P Jamp
JJ Teuteberg","","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on a cloud ML platform and XGBoost predictions for post‑discharge cardiovascular patients; no wearable device central to the study, limited adherence data, no sensor accuracy analysis, but reports clinical outcomes over the trial period.","","","",""
"Psychosocial factors and mobile health intervention:impact on long-term outcomes after lung transplantation","https://scispace.com/paper/psychosocial-factors-and-mobile-health-intervention-impact-11v9vwhw2f","2015","","","Emily M. Rosenberger
Annette J. DeVito Dabbs
Andrea F. DiMartini
Douglas Landsittel
Galen E. Switzer
Mary Amanda Dew","","https://scispace.com/pdf/psychosocial-factors-and-mobile-health-intervention-impact-11v9vwhw2f.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions wearables only in passing and focuses on psychosocial mHealth factors after lung transplant; lacks device‑specific use, adherence data, accuracy validation, or outcome links to a wearable.","Identifying and intervening on modifiable risk factors may improve outcomes in lung transplantation (LTx), which, despite recent improvements, remain suboptimal. Evidence suggests that two modifiable risk factors, psychiatric disorders and nonadherence, may improve LTx outcomes in the short-term; however, neither has been explored in the long-term. Therefore, the overarching goal of this dissertation was to determine the long-term
impact of these modifiable risk factors and intervention to attenuate them. First, we examined the relationship of pre- and early post-transplant psychiatric disorders on LTx-related morbidity and mortality for up to 15 years post-LTx. Our sample included 155 1-year LTx survivors enrolled in a prospective study of mental health post-
LTx. We found that depression during the first year post-LTx increased risk of BOS, mortality and graft loss by nearly twofold, and that pre-transplant depression and pre- and post-transplant anxiety were not associated with clinical outcomes. Next, we examined the impact of a mobile health intervention designed to promote adherence to the post-LTx regimen, PocketPATH, on long-term LTx-related morbidity, mortality and nonadherence. We conducted two follow-up studies to the original yearlong
randomized controlled trial in which participants assigned to PocketPATH showed improved adherence to the regimen, relative to usual care. Among the 182 LTx recipients (LTxRs) who survived the original trial, we found that PocketPATH had a protective indirect effect on mortality by promoting LTxRs’ communication with the LTx team during the first year. Among the 104 LTxRs who completed the follow-up assessment, we found that PocketPATH’s adherence benefits over the first year were not sustained into the long-term, although LTxRs assigned to PocketPATH were more likely than LTxRs assigned to usual care to perform the home self-care tasks of the regimen at follow-up. Median time since LTx for participants in both follow-up studies was 4.2 years (range, 2.8-5.7 years). This dissertation presents an important first step toward identifying and intervening
on modifiable risk factors to improve long-term LTx outcomes. Mobile health technologies offer limitless potential to target these risk factors and others. More work is needed to determine specific features and long-term patient engagement strategies that will optimize and sustain intervention effectiveness.","","",""
"Revolutionizing Chronic Disease Management: The Role of Wearable Health Technology in Enhancing Patient Health","https://scispace.com/paper/revolutionizing-chronic-disease-management-the-role-of-67kk4sm163jk","2025","Repository","","Ankita Chhikara
Ritu Verma","10.5281/zenodo.14945003","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses wearables for chronic disease care in a broad review but lacks a specific device focus, adherence data, accuracy validation, or long‑term outcome results.","Wearable technology has revolutionized how individuals monitor and engage with their health, evolving from simple fitness trackers to advanced medical devices capable of real-time monitoring and chronic disease management. These devices incorporate advanced sensors, connectivity, and artificial intelligence to provide personalized health insights. Applications span from fitness tracking to clinical uses like fall prevention in the elderly, remote patient monitoring, and chronic illness detection. Emerging innovations, such as graphene-based sensors and hydrogel wearables, promise enhanced functionality. Despite their advantages, wearables face limitations, including data security concerns, power constraints, integration challenges, and high costs. As the technology matures, it is poised to play a pivotal role in transforming healthcare delivery and personal health management. ","","",""
"Keeping Pace with Wearables: A Living Umbrella Review of Systematic Reviews Evaluating the Accuracy of Consumer Wearable Technologies in Health Measurement","https://scispace.com/paper/keeping-pace-with-wearables-a-living-umbrella-review-of-e5x667h4s5","2024","Review","","Cailbhe Doherty
Mike Baldwin
Rob Argent
Alison Keogh
Brian Caulfield","10.31219/osf.io/s8kg5","https://scispace.compdf/keeping-pace-with-wearables-a-living-umbrella-review-of-e5x667h4s5.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses systematic‑review synthesis to assess wearable measurement accuracy across many devices; does not focus on chronic disease use, adherence metrics, or long‑term outcome studies.","Background: Consumer wearable technologies have become ubiquitous, with clinical and non-clinical populations leveraging a variety of devices to quantify various aspects of health and wellness. However, the accuracy with which these devices measure biometric outcomes such as heart rate, sleep and physical activity remains unclear.Objective: To conduct a “living” (i.e., ongoing) evaluation of the accuracy of consumer wearable technologies in measuring various physiological outcomes.Methods: A systematic search of the literature was conducted in the following scientific databases: MEDLINE via PubMed, Embase, Cinahl, and SPORTDiscus via EBSCO. The inclusion criteria required systematic reviews or meta-analyses that evaluated the validation of consumer wearable devices against accepted reference standards. In addition to publication details, review protocol, device specifics, and a summary of the authors’ results, we extracted data on mean absolute percentage error (MAPE), pooled absolute bias, intraclass correlation coefficients (ICC), and mean absolute differences. Results: Of 904 identified studies through initial search, 24 systematic reviews met our inclusion criteria, which themselves included 249 non-duplicate validation studies of consumer wearable devices which included of 430,465 participants (43% female). Of the commercially available wearable devices released to date, approximately 11% have been validated for at least one biometric outcome. However, because a typical device can measure a multitude of biometric outcomes, the number of validation studies conducted represents just 3.5% of the total needed for a comprehensive evaluation of these devices. For heart rate, wearables showed a mean bias of ±3%. In arrhythmia detection, wearables exhibited a pooled sensitivity and specificity of 100% and 95%, respectively. For aerobic capacity, wearables significantly overestimated VO2max by ±15.24% during resting tests and ±9.83% during exercise tests. Physical activity intensity measurements had a mean absolute error ranging from 29-80%, depending on the intensity of the activity being undertaken. Wearables mostly underestimated step counts (mean absolute percentage errors ranging from -9% to 12%) and energy expenditure (mean bias = -3kcal per minute, or -3%, with error ranging from −21.27% to 14.76%). For blood oxygen saturation, wearables showed a mean absolute difference of up to 2.0%. Sleep measurement showed a tendency to overestimate total sleep time (mean absolute percentage error typically &amp;gt;10%).Conclusions: While consumer wearables show promise in health monitoring, a conclusive assessment of their accuracy is impeded by pervasive heterogeneity in research outcomes and methodologies. There is a need for standardised validation protocols and collaborative industry partnerships to enhance the reliability and practical applicability of wearable technology assessments. ","","",""
"Opportunities of Wearable Technology to Increase Physical Activity in Individuals with Chronic Disease: An Editorial.","https://scispace.com/paper/opportunities-of-wearable-technology-to-increase-physical-3n4nrytb4r","2019","Journal Article","International Journal of Environmental Research and Public Health","Jennifer L. Scheid
Sarah L. West","10.3390/IJERPH16173124","https://scispace.com/pdf/opportunities-of-wearable-technology-to-increase-physical-3n4nrytb4r.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses wearables as a potential tool for chronic disease PA prescription, but lacks specific device focus, adherence data, accuracy validation, or long‑term outcome results.","In this editorial, we will discuss one promising tool to encourage physical activity participation in individuals with chronic disease: The use of wearable technology.","","",""
"Evolution of Wearable Devices with Real-Time Disease Monitoring for Personalized Healthcare","https://scispace.com/paper/evolution-of-wearable-devices-with-real-time-disease-1jg24fs3an","2019","Journal Article","Nanomaterials","Kyeonghye Guk
Gaon Han
Jaewoo Lim
Keunwon Jeong
Taejoon Kang
Eun Kyung Lim
Juyeon Jung","10.3390/NANO9060813","https://scispace.com/pdf/evolution-of-wearable-devices-with-real-time-disease-1jg24fs3an.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearable sensors for chronic disease monitoring but lacks primary data on adherence, accuracy validation, or longitudinal outcome effects.","Wearable devices are becoming widespread in a wide range of applications, from healthcare to biomedical monitoring systems, which enable continuous measurement of critical biomarkers for medical diagnostics, physiological health monitoring and evaluation. Especially as the elderly population grows globally, various chronic and acute diseases become increasingly important, and the medical industry is changing dramatically due to the need for point-of-care (POC) diagnosis and real-time monitoring of long-term health conditions. Wearable devices have evolved gradually in the form of accessories, integrated clothing, body attachments and body inserts. Over the past few decades, the tremendous development of electronics, biocompatible materials and nanomaterials has resulted in the development of implantable devices that enable the diagnosis and prognosis through small sensors and biomedical devices, and greatly improve the quality and efficacy of medical services. This article summarizes the wearable devices that have been developed to date, and provides a review of their clinical applications. We will also discuss the technical barriers and challenges in the development of wearable devices, and discuss future prospects on wearable biosensors for prevention, personalized medicine and real-time health monitoring.","","",""
"New approaches to evaluating and monitoring blood pressure","https://scispace.com/paper/new-approaches-to-evaluating-and-monitoring-blood-pressure-16we7sdia9","2016","Journal Article","Current Hypertension Reports","Elizabeth M. Goldberg
Phillip D. Levy","10.1007/S11906-016-0650-9","https://pmc.ncbi.nlm.nih.gov/articles/PMC8049529/pdf/nihms-1689779.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews wearable BP sensors for hypertension management but lacks primary data on adherence, accuracy validation, or extended outcome effects.","Digital health innovations for hypertension include cuffless blood pressure sensors, wireless smartphone-enabled upper arm blood pressure monitors, mobile applications, and remote monitoring technologies. Wearable trackers have drawn interest from medical professionals and patients alike. They have the potential to improve hypertension control and medication adherence through easier logging of repeated blood pressure measurements, better connectivity with health-care providers, and medication reminder alerts. With increasing emphasis on home and ambulatory blood pressure monitoring to confirm hypertension prior to treatment, such devices also can help improve the diagnostic landscape. However, privacy, accuracy, and cost concerns have prevented widespread clinical uptake. To foster implementation, device designers and clinical researchers should collaborate on development of rigorous clinical trials that test cardiovascular outcomes associated with emerging technologies. We review the current literature on mobile health technologies and novel diagnostic and management protocols and make recommendations on how to incorporate these innovations into practice.","","",""
"Wearable health technologies in chronic disease management: current applications, barriers, and future perspectives","https://scispace.com/paper/wearable-health-technologies-in-chronic-disease-management-dehj2s90tcwz","2025","Journal Article","International Journal of Innovative Technologies in Social Science","Mateusz Mierniczek
Maria Mierniczek
Aleksandra Mierniczek
Kinga Kaczmarska
Kinga Rosołowska
Jarosław Dudek","10.31435/ijitss.4(48).2025.4201","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses various wearables for chronic diseases but as a narrative review; lacks original adherence data, accuracy validation, or longitudinal outcome results.","Wearable technologies are driving a paradigm shift in chronic disease management from clinics to patients 'everyday environments. Their applications are diverse: early arrhythmia detection in cardiology, optimal glycemic control in diabetology, remote monitoring in pulmonology, and opening new paradigms for objective assessment in neurology and medication adherence. This constant stream of data drives proactive, personalized & data-driven healthcare. 
Many of those advances are still limiting widespread clinical integration. Technical challenges regarding data validation and algorithmic transparency remain, alongside complex ethical questions about data privacy and the risk of algorithmic bias. Also, unresolved economic issues like reimbursement models threaten to increase health inequalities  The future of digital health will depend on integrating wearable data with artificial intelligence. It will unlock predictive analytics to forecast disease exacerbations and enable the development of reliable digital biomarkers within the vision of P4 medicine - predictive, preventive, personalized, and participatory. 
This narrative review critically summarizes the available data, identifies these ethical and practical obstacles, and suggests ways to safely, successfully, and fairly incorporate wearable technology into standard medical procedures.","","",""
"Integrating Wearable Health Technology into Patient Care: Implications for Chronic Disease Management and Preventive Health","https://scispace.com/paper/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv","2024","Journal Article","Deleted Journal","Yessy Dessy Arna
Hassan Burhan
Indriati Kusumaningsih
Sri Mulyani
Endah Labati","10.59613/5rn8fm71","https://scispace.compdf/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses wearable health tech integration for chronic disease care, but lacks a specific device focus, adherence data, accuracy validation, or longitudinal outcome results.","The integration of wearable health technology into patient care represents a transformative approach to managing chronic diseases and promoting preventive health. This article examines the potential of wearable devices, such as fitness trackers, smartwatches, and continuous monitoring sensors, to enhance patient outcomes by providing real-time data on key health indicators, including heart rate, blood pressure, physical activity, and sleep patterns. Through an analysis of current applications and advancements in wearable technology, this study assesses how these devices contribute to early disease detection, improved patient engagement, and proactive management of chronic conditions like diabetes, hypertension, and cardiovascular diseases. Findings indicate that wearable health technology supports more personalized and responsive care models, allowing healthcare providers to track patient progress remotely, adjust treatments as needed, and foster greater adherence to health interventions. Additionally, the study highlights challenges related to data privacy, interoperability, and patient adherence, underscoring the importance of addressing these issues to fully realize the potential of wearable technology in healthcare. By providing insights into the effective integration of wearable devices in clinical settings, this research offers valuable guidance for healthcare providers, policymakers, and technology developers aiming to improve chronic disease management and advance preventive healthcare strategies. ","","",""
"Real‐Time Chronic Disease Management with Smart Devices Integrating Internet‐of‐Things Technology in Healthcare Applications","https://scispace.com/paper/real-time-chronic-disease-management-with-smart-devices-6um1ijzhf2w1","2026","Journal Article","","S. T. Thorat
Y. Inamdar Sharifnawaj","10.1002/9781394389131.ch22","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews IoT‑enabled wearables for chronic disease but provides no specific device study, adherence data, accuracy validation, or longitudinal outcome results.","Real-time chronic disease management is an important part of modern healthcare because it lets doctors keep an eye on patients with long-term conditions, act quickly when needed, and help those patients have better results. Putting Internet-of-Things (IoT) technology into smart devices could help improve the control of chronic diseases by collecting data in real time, giving personalized feedback, and letting doctors keep an eye on things from afar. Wearable tech, like smartwatches, fitness trackers, and medical-grade sensors, lets patients and doctors keep an eye on vital signs, symptoms, and patterns of behavior that are important for controlling long-term illnesses like diabetes, heart disease, asthma, and high blood pressure. The Internet of Things (IoT) makes it possible for personal technology and central healthcare systems to talk to each other without any problems. It also provides a flexible and responsive way to share data. This combination makes it possible to keep an eye on important things like blood pressure, oxygen consumption, heart rate, blood sugar levels, and physical exercise. IoT-enabled gadgets can also keep track of how well patients are following their treatments, find early signs of getting worse, and guess what health risks might be coming up through data analytics and machine learning algorithms. The real-time data that these gadgets produce lets healthcare professionals make smart, data-driven choices that improve the accuracy and speed of actions. For patients, the constant tracking and instant feedback make them more involved in self-care, which leads to better disease control and taking medications as prescribed. Additionally, the ability to watch patients from afar cuts down on the need for frequent in-person meetings, making this option to standard healthcare methods easier and more cost-effective. ","","",""
